유형	이름	대사
think	나	휴대전화 화면에 '예진<3'가 표시돼있다.
talk	나	예디나!!
talk	예진	어...? 음...
talk	나	보고 싶었어. 나 핸드폰 없어진줄 알고 연락도 못했어
talk	예진	어... 오랜만이야.
talk	나	근데 목소리가 왜 그래? 어디 아파?
talk	예진	어... 아무튼 사고 소식 때문에 괜찮나 싶어서...
talk	나	응... 어쩌다 보니까 사고가 났는데 기억이 없네...
talk	예진	기억이 안 나는구나...
talk	예진	너가 그럴 사람 아닌 거 아는데 용의자로 지목됐길래
talk	예진	게다가 같이 일하던 과장님마저 돌아가셨잖아...
talk	예진	평소에 너가 과장님 때문에 많이 힘들다고 했어도 상심이 클 것 같아서...
talk	나	고마워, 근데 진자 왜 그렇게 말 끝을 흐려...?
talk	예진	... 정말 기억 못하는거야?
talk	나	내가 정신 차리고 바로 전화 안 해서 화난거야...?
talk	예진	너가 나한테 전화를 왜 해. 우리 파혼한 사이잖아.
talk	나	지금 장난치는 거지? 회식 때문에 자주 싸우긴 했지만... 갑자기 왜...
talk	예진	너... 어디까지... 기억...나는거야?
talk	나	너 생일 전날까지만...
talk	예진	내 생일 파티 안 온게 기억이 안난다고?
talk	예진	너 기껏 휴가 써놓고 과장이 부른다고 출근했잖아!
talk	예진	안 그래도 우리 몇 달동안 계속 이 문제로 싸우고 있었는데.
think	나	말이 안 나온다.
talk	예진	아무쪼록 잘 해결되길 바란다...! 끊을게.
think	나	......
think	나	.........파혼이라고?
think	나	몇 달간 회식에 끌려다니고 집에 새벽같이 들어가면서
think	나	예진이랑 계속 문제가 있긴 했었다.
