유형	이름	대사
talk	나	도대체 사고는 어떻게 된 거야? 	
talk	여동생	오빠 사고에 대해서도 아무 기억이 안 나?	
think	나	사고..? 정말 하나도 기억나지 않는다. 	
narration	나레이션	동생은 뉴스 보도보다 조금 더 자세한 사정을 알고 있었다. 	
narration	나레이션	나를 포함해서 과장, 대리님까지 총 3명이서 출장을 가다가 과장님의 졸음 운전으로 사고가 발생했다고 한다.	
talk	나	방금 뉴스로 살인사건이라고 했잖아? 	
talk	여동생	아..그게 원래 과장님이 부정맥이었다고 유가족들이 부검요청을 했나봐. 내 생각에는 보험금 때문인 것 같기도 하고... 	
talk	여동생	아무튼 부검 결과가 나왔는데 과장님 체내에서 졸피뎀이라는 수면제가 검출되었대	
talk	여동생	부검 결과를 듣고 유가족들이 타살이 아니냐고 의문제기를 해서 재수사를 한다고 하네? 	
think	나	졸피뎀..? 들어본 적은 있지만 나는 어떻게 생겼는 지도 모르는데..?	
think	나	그러면 류대리님이 과장님을 죽이려고 먹인건가? 그러면 대리님이 범인인가? 뭔가 착오가 있던 것은 아닐까..? 	
talk	여동생	확정된 건 아니고....경찰이 병원에서 계속 수사중이야. 그런데 대리님이 우울증 때문에 졸피뎀을 처방받은 기록이 있어서 ..제일 유력한 용의자로 조사받고 있어. 	
narration	나레이션	동생 말이 끝나기 무섭게 대리와 경찰이 병실로 들어온다.	
talk	경찰	안녕하세요. 저는 이번 사건을 배정받은 ㅇㅇ이라고 합니다. 무사히 깨어나셔서 정말 다행입니다. 	
talk	경찰	휴식을 취하셔야 하는데 방해해서 죄송합니다. 사고에 대해 몇 가지 여쭤볼 것이 있어서요. 	
think	나	그런데 대리님의 표정이 꽤 여유로워 보인다. 분명히 유력한 용의자라고 하지 않았나? 	
talk	경찰	떠올리기 힘드시겠지만 당시 사고 상황을 얘기해 주실 수 있을까요?	
talk	나	어...그게...제가 정말 아무 것도 기억이 안나서요.	
think	나	내가 생각해도 정말 터무니없는 소리다. 	
talk	경찰	(한숨을 쉬면서) 현재 가장 유력한 용의자로 지목된 상황입니다. 이렇게 나오시면 정말 불리하게 작용할 수 있어요. 	
think	나	이게 또 무슨 소리지? 대리가 가장 유력한 용의자라고 하지 않았나? 	
talk	나	네? 제가 왜 유력한 용의자죠? 분명 방금 뉴스에서도..!	
talk	대리	너 대체 왜그랬어! 	
talk	대리	과장님 편히 눈 감으실 수 있게 이제 그냥 순순히 자백해..너가 그랬다는 증거도 나왔어 	
think	나	???????? 내가...내가 그랬다고?? 	
talk	경찰	아직 확실한 건 아무것도 없어요. 정황상 그렇다는 거죠. 사고 현장에서 ㅇㅇ커피가 발견 되었는데, 그 안에서 졸피뎀 성분이 검출되었습니다.	
talk	경찰	 그 커피는 (사원이름)씨가 출근할 때 사온 커피라고 ㅇㅇ(대리)씨가 진술하셨구요. 	
talk	대리	너가 출근할 때 그 커피 사오는 걸 내가 똑똑히 기억하는데, 너가 거기에 약을 타서 과장에게 먹인거겠지. 대체 왜 그랬어? 	
talk	대리	과장이 틱틱거려도 너한테 얼마나 잘해줬는데..!!	
talk	나	저 정말...기억이 없어요. 진짜에요..믿어주세요! 	
talk	경찰	다시 한 번 말씀드리지만, 이렇게 나오시면 정말 불리하실 수 있어요.	
talk	여동생	저희 오빠가 하는 말 진짜에요..!! 그렇게 의심스러우시면 검사 해보던가요..무조건 의심부터 하시는 거 정말 불쾌하네요. 	
narration	나레이션	동생의 확신에 찬 목소리 때문인지 경찰도 난처해 하는 듯 하다. 	
talk	경찰	그럼 기억이 없다고 하시니까. 지금까지 조사한 상황 알려드릴테니, 조금이라도 기억 나는 것이 있으시면 말씀해 주시죠. 	
narration	나레이션	경찰이 가지고 온 수첩을 보고 읽는다. 	
