유형	인물	대사
think	나	...
think	나	으, 머리가 깨질 것 같다.
think	나	어제 회식을 달리기는 했는데
think	나	...
think	나	3차 노래방 이후로 기억이 없네
think	나	...
think	나	진짜 아무리 과장님이 술을 좋아하신다지만
think	나	어떻게 연차 쓴 날 새벽까지 술을 먹이는거지?
think	나	...
think	나	에휴, 모르겠다!
think	나	슬슬 일어나서 예진이 생일 파티나 준비해야지
think	나	진짜 데이트 하려고 연차를 쓰는 날이 오다니
think	나	업무 일찍 끝난 날은 술 좀 안 먹이면 안 되나
narration	나레이션	(천천히 눈을 뜨며)
background		Background_Hospital
think	나	?
think	나	어?
think	나	...
info		얍	봐라!
think	나	내가 왜 병원에 있어?
think	나	아니 술을 마시고 뭔 일을 당한거지
narration	나레이션	(팔에 찬 깁스를 내려다보며)
think	나	계단에서 구르기라도 했나
think	나	하, 예진이한테 빨리 연락해야겠다.
think	나	안 그래도 못 만나는 거 때문에 싸웠는데
think	나	여기서 사이가 더 나빠지면 안 되는데..
narration	나레이션	(핸드폰을 찾아보나, 보이지가 않는다.)
narration	나레이션	(이 때 밖에서 들려오는 발걸음 소리)
image	여동생
talk	여동생	어? 오빠 깨어났구나!
talk	나	으, 머리 아파 좀만 작게 얘기해봐
talk	나	그나저나 너 내 핸드폰 어딨는지 알아?
talk	나	예진이한테 생일 파티 못 해줄 것 같다고,
talk	나	진짜 진짜 미안하다고 빨리 연락해야 한다고
talk	여동생	응? 그 언니한테 왜?
talk	나	내 핸드폰 못 봤어?
talk	여동생	아, 맞다 간호사분이 깨어나면 알려달랬어.
talk	여동생	빨리 가서 불러올게! 좀만 기다려!
image	
narration	나레이션	(말을 돌리고 황급히 떠나는 여동생)
think	나	폰 달라고 한게 그렇게 당황할 일인가;
think	나	여자친구한테 연락하겠다는데 '왜?'라니;
think	나	아, 나 설마 폰이랑 지갑 전부다 잃어버린건가?
talk	앵커	다음 뉴스입니다.
talk	앵커	경찰이 5일 전 발생한 '강원도 산길 사고'를 재수사합니다.
talk	앵커	△△ 회사 직원 3명이 탑승한 차량이 산 비탈에 충돌한 사고로
think	나	응? 우리 회사 얘기잖아?
talk	앵커	초기에는 운전자의 졸음 운전이 사고 원인으로 추정되었으나,
talk	앵커	최근 운전자의 부검 결과 체내에서 수면제 성분이 발견되면서
talk	앵커	살인 사건의 가능성을 고려해 재수사가 시작된 것입니다.
talk	앵커	경찰은 동승자 류 모 대리를 유력 용의자로 보고 있습니다.
think	나	누가 돌아가셨구나. 그나저나 류 모 대리라니?
think	나	..설마 우리 팀 류 대리님인가? 다른 팀에 류 대리가 있었나?
talk	의사	환자 분 깨어나셨군요.
narration	나레이션	(나의 상태를 꼼꼼히 설명해주신다)
narration	나레이션	...
narration	나레이션	...
talk	의사	좀 더 안정을 취하셔야 합니다.
talk	나	감사합니다!
narration	나레이션	(의사가 병실을 떠난다.)
image	여동생
talk	나	참, 우리 회사 누구 돌아가셨나봐?
talk	나	△△ 회사 교통사고 사건 보도되던데.
talk	나	5일 전에 출장 간 팀이면 누구지?
talk	여동생	...
talk	나	내가 아는 류 대리님은 한 명 뿐인데..
talk	여동생	그거 오빠 사고 얘기잖아.
think	나	어?
think	나	난 5일 전에 출장을 가지 않았는데?
talk	여동생	설마, 사고 전 기억이 없는거야?
talk	나	아니, 5일 전이면 11월 6일이잖아.
talk	여동생	오늘 11월 17일이야. 사고는 11월 12일.
talk	여동생	봐. 11월 17일 맞잖아.
think	나	여동생 폰에는 17일이라 표시되어 있었다.
talk	여동생	의식을 잃은 5일동안 기억이 없다고 쳐도,
talk	여동생	11월 11일, 12일 기억이 전혀 없나보네..
think	나	내가 연차를 쓴 날이 11월 11일인데..
think	나	예진이 생일인데 대체 왜 기억이 없지?
think	나	그 날은 잘 일어났나? 잘 챙겨줬나?
think	나	그나저나 연락을 안 한지 5일이라니..
talk	나	나 폰 좀 빌려줘. 예진이한테 전화 좀 하게.
talk	나	혹시 연락해줬어? 걱정하고 있을텐데..
talk	여동생	어, 응. 연락해뒀지. 푹 쉬고 연락 달래.
talk	나	나 생일 파티는 잘해줬어? 연차 쓴 날?
talk	여동생	응, 그 때 나한테 잘 챙겨줬다고 자랑했어.
narration	나레이션	(잠시나마 입가에 웃음이 돈다)
talk	나	아니, 그래서
choice		여자친구에 대해 더 물어본다.	사고에 대해 물어본다. 
result		1	2
