유형	인물	대사
talk	여동생	참, 사고 현장에서 지갑이랑 가방은 찾았대.
narration	나레이션	(여동생이 지갑과 가방을 건네준다.)
talk	나	핸드폰은 못 찾았나보네. 챙겨줘서 고마워.
talk	나	근데 수면제가 대체 왜 과장님 몸에서..
image	여동생	사수
narration	나레이션	(병실 문을 열고 사수가 들어온다.)
talk	나	아, 선배님 오셨어요?/인사해. 제 동생입니다.
talk	여동생	처음 뵙겠습니다.
talk	사수	처음 뵙겠습니다. 잠시 자리 좀 내주시겠어요?
image	사수	
narration	나레이션	(여동생이 폰을 들고 병실을 나선다.)
talk	사수	좀 괜찮아? 뉴스 보고 깜짝 놀랐어.
talk	나	그러게요, 저도 눈 떠보니까 병실이어서.../그것보다 과장님이...
talk	사수	그러게, 나도 뉴스 보고 얼마나 놀랐는지./과장님 빈 자리만 보면 아직도 믿기지 않는다.
talk	나	저 되게 잘 챙겨주시던 분인데 어쩌다..
talk	사수	사고 상황에 대해서는 기억이 없는거야?
talk	나	네. 그 전 날 연차쓰고 뭘 했는지도 헷갈리네요.
talk	사수	그럼 왜 과장님이 운전 중이었는지도 모르겠네?
talk	나	네, 안 그래도 여동생이랑 궁금해하고 있었어요.
talk	사수	그럼 류 대리님이 원래 출장 인원이 아니었던 것도?
talk	나	네? 그게 무슨 말이에요? 출장 인원이 아니라니?
talk	사수	출장 결제가 총 두 번 있었어./너랑 과장님 출장, 그리고 대리님 혼자 출장.
talk	나	근데 왜 대리님이 한 차에 타 있었던거에요?
talk	사수	그, 경기광주휴게소인가? 거기 잠깐 들렸다는데./대리는 거기서 10분 거리에서 내릴 예정이었대.
talk	나	그럼 거기서 저 대신 과장님이 운전대를?
talk	사수	응, 그리고 나서 거의 바로 사고가 난거고.
choice		류 대리님이 의심 받는 이유를 묻는다.	과장님이 부검을 받은 이유를 묻는다.
result		1	2
