유형	인물	대사
talk	사수	아, 잠깐만. 전화 좀 받고 올게.
image		
narration	나레이션	(선배가 울리는 전화를 받으러 병실을 나간다.)
think	나	근데 어쨌든 류 대리님도 사고를 당하신 거 아닌가?
think	나	아무리 과장님이랑 사이가 안 좋았어도 그렇지,/살인을 할 거였으면 같이 사고를 당할 이유가 없는데...
think	나	그리고 왜 처음에 졸음 운전이 원인으로 지목됐지?/유족분들 말마따나 근래에 심장병이 급격히 안 좋아지신 것/같은데,그건 배제된건가?
image	사수	
narration	나레이션	(사수가 급하게 병실 안으로 들어온다.)
talk	사수	휴, 회사에 일이 있어서 급하게 가봐야할 것 같다./미안... 내일 출근 전에 잠깐 들릴게!
talk	나	안 오셔도 돼요. 오늘도 와주셔서 너무 감사했는걸요.
talk	사수	아냐아냐, 내일 아침에 보자!
endScene		
image	대리	
narration	나레이션	(생각할 겨를도 없이 대리가 병실로 들어온다.)
talk	대리	어, 같은 층이었구나? 몸은 좀 괜찮아?
think	나	유력 용의자라는데, 과장님 얘기는 조심해야겠지?/선배님 왔다 가신 것도 굳이 얘기하지 않아도...
talk	나	네 대리님. 대리님도 크게 안 다치셨나봐요?
talk	대리	응, 전치 2주 나왔어. 곧 퇴원할 것 같아./참, 사고 관련해서 뉴스 보도 봤어?
choice		봤다고 솔직하게 답한다.	안 봤다고 거짓말 한다.
result		1	2
