유형	인물	대사
talk	나	수면제는 약효가 거의 바로 나타나나요?
talk	대리	...
talk	대리	진짜 과장님이 얼마나 답답하셨으면 너 대신 운전하다가..
narration	나레이션	(질문 때문인지 대리의 얼굴이 굳는다. 눈시울이 붉어진다.)
talk	대리	난 다시 병실로 가봐야겠다. 쉬고 있어!
talk	나	와주셔서 감사합니다. 다음에 또 봬요.
image		
think	나	대리님이랑 과장님이랑 사이가 안 좋긴 했는데/애초에 거짓말하거나 숨길 수 있는 분이 아닌데..
think	나	그것보다 원래는 내가 운전하고 있었나 보네?/휴게소에서 교대하고 나서 바로 사고가 났나봐.
endScene		
image	여동생	
narration	나레이션	(여동생이 병실 문을 열고 들어온다. 표정이 안 좋다.)
talk	여동생	오빠, 잠깐 일어나 봐. 손님 오셨어. 
image	여동생	경찰
narration	나레이션	(여동생의 뒤로 경찰이 들어온다.)
talk	경찰	나현빈씨와 할 말이 있으니 여동생분은 나가 주세요. 
image	경찰	
narration	나레이션	(탐탁치 않은 눈으로 여동생이 퇴장한다.)
talk	경찰	안녕하세요. △△경찰서 형사 3팀 경사 ㅇㅇㅇ입니다. 
talk	경찰	원래 깨어나시면 전화로 출석 날짜를 잡으려고 했는데/오늘 아침 류규원씨와 함께 유력 용의자로 특정되어서요. 
talk	나	네? 제가 유력 용의자요? 
talk	경찰	수면제가 검출된 커피를 산 기록이 본인의 카드내역에서/발견 되었습니다. 본인이 직접 사서 차에 가져 간 것 맞죠? 
talk	경찰	만약 본인이 커피에 수면제를 넣은 거라면/빨리 자수하시는 것이 좋을 겁니다.
think	나	내가 유력 용의자가 되었다고? 이게 대체 무슨 소리지...
talk	나	그 커피를 제가 샀다구요?/저... 제가 사고 전날부터의 기억이 없어서 그러는데...
talk	경찰	후... 현빈씨 그렇게 나오시면 불리할 수 있어요. 
talk	나	아니 제가 정말... 기억이 없어서요.../정말 무슨 소리를 하시는 건지..
choice		증거품 커피에 대해 더 물어본다.	혼란스러우니 생각을 정리 후 다음에 이야기 하자고 한다.
result		1	2
