유형	인물	대사
talk	경찰	기억이 없다고 하시니.../오늘은 확인차 방문한거라 이만 돌아가겠습니다.
talk	경찰	이미 강도 높은 수사가 진행 되고 있으니, 오래 지체할 수는 없어요.  
talk	경찰	내일 모레에는 류규원씨와 함께 대면 조사를 할 예정입니다./정 기억이 안나시면 변호사라도 선임하시는 게 좋겠네요. 
image		
narration	나레이션	(경찰이 병실을 나간다.)
think	나	내가 그 커피를 샀다고? 내가 범인일 수도 있다고? /이대로 가면 내가 잡혀갈 수도 있는 거잖아..? 
think	나	아니 근데 핸드폰도 없고,/내가 샀다는 증빙을 지금 확인할 방법이..
narration	나레이션	(급하게 지갑을 뒤져본다. 그 안에서 영수증을 발견한다.)
object		Receipt
think	나	집 앞 편의점에서 매일 아침 커피를 사던 시간대의 영수증이다. 
think	나	이 영수증이 왜 여기에? 나 영수증 안 받아두는데?/아무튼 커피를 산 건 내가 맞는 것 같다.
object		None
think	나	정말 내가 그런걸까? 대체 왜..?무슨 이유로?/결혼을 앞두고 과장님께서 얼마나 잘해주셨는데...
think	나	혹시 사고 전날에 무슨 일이 있었던 걸까?/분명 태희는... 아무 일 없던 것처럼 말했는데...
think	나	휴대폰! 내 휴대폰은 아직 수리 중인가?/혹시, 태희가 나한테 뭔가 숨기는 사실이 있는 것은 아니겠지..? 
think	나	아, 이게 뭔 고생이야. 기억만 안 잃었어도 뭐라도 할텐데.
think	나	...
choice		범인은 혹시 나인걸까?	내가 그랬을 리가 없어, 류대리님이 범인일 것 같아.	설마...나랑 대리님 둘 다 범인일 리 없어.
result		1	11	21
