유형	인물	대사
talk	나	혹시..저랑 류대리님 말고 평소에 과장님에게 / 원한이 있을 만한 회사 사람이 있을까요? 
talk	나	아니면 저랑 류대리님에게 원한이 있는 누군가가 / 몰래 졸피뎀을 타서 곤란하게 하려고 한 건 아닌지..
talk	사수	음.. 없던 것 같기는 한데... 내가 한 번 알아보기는 할게 
talk	사수	너무 걱정하지 말고...
narration	나레이션	사수가 나간다.
narration	나레이션	오후 늦게 사수를 기다리고 있는데 대리가 찾아온다.
talk	대리	어제보다 몸 좀 괜찮아 졌니? 
talk	대리	어제 경찰들이 찾아와서 너가 사 온 커피에서 졸피뎀이 발견되었다고 하더라..
talk	대리	유가족들은 심장마비라고 계속 주장한다고 하고....
talk	대리	솔직히 지금 너무 혼란스럽다...난 너가 범인이라고 생각하지 않아 / 나도 마찬가지고..
talk	나	저도 저나 대리님이 범인이라고는 생각하지 않아요.. 
talk	나	회사에서 이 정도 갈등은 누구에게나 있는 일인데... / 고작 이런 일로 사람을 죽인다는 게 말이 되나요?
talk	대리	후...그러게 일이 잘 풀려야 할텐데...
talk	나	대리님 혹시 과장님을 살해할 만큼의 일이 있던 거 아니에요? 
talk	대리	이런 상황에서 장난이 나오니..? 사람을 죽일 만큼 큰 일이 대체 뭐가 있겠어..
talk	대리	너도 결혼을 앞두고 있으니 알겠지만, 난 아내도 있고 딸도 있는데../ 어떻게 이런 사건을 일으켜? 
talk	나	....저희 둘 다 범인이 아니라는 건 확실히 알겠네요...
talk	대리	내가 바보도 아니고, 정말 죽이고 싶었으면 다른 방법으로 죽였겠지..
talk	대리	나도 같이 죽을 수도 있는데..미쳤다고 달리는 차 안에서 졸피뎀을 먹여? 
talk	나	사실 저희도..이 사건의 피해자인데..용의자로 몰리고 있다고 생각하니까 / 이 상황이 진짜 어이가 없네요.
talk	나	혹시 ...저 사고 당일날 좀 이상하거나, 평소 같지 않은 부분이 있었나요? 
talk	나	제가 기억이 없어서 정말 답답하네요. 
talk	대리	딱히? 그냥 평소 같았어. / 출근하자마자 출장 가야 된다고 해서 정신이 없어보이기는 했는데
talk	대리	너 원래 길 잘 못찾아서 자주 혼났잖아 / 그날도 초행길이어서 그런 지 한참을 헤매는 바람에
talk	대리	휴게소에 들리자마자 운전자를 바꿨어. / 휴게소에서 너랑 과장님은 화장실에 갔다왔고...
talk	대리	나도 그 때 담배를 피고 돌아왔어.. / 그리고 바로 과장님이 운전대를 잡고 출발 했어. 
talk	대리	그냥 너무 평소 같았는데... 하나도 이상한 점이 없었어..
talk	대리	그리고 그 커피 말인데.. 난 과장님이 커피 마시는 걸 본 적이 없거든. 
talk	대리	대체 언제 마신 건지 모르겠네..
talk	나	그래요? 커피 마시는 걸 못 보셨어요? 
talk	대리	응. 다시 출발하고 나서 나는 뒷자석에서 잠깐 눈 좀 붙이려고 했는데..
talk	대리	갑자기 차가 흔들리면서 너가 과장님한테 괜찮냐고 소리 치길래 잠에서 깼어 
talk	대리	부장님은 정신을 잃은 것 같았고.. / 너가 엄청 다급하게 핸들을 돌리려고 하는데 
talk	대리	그대로 커브길 펜스를 뚫고 비탈에 박아버렸거든
talk	나	...정말 기억이 하나도 안 나네요....그랬구나..
talk	대리	그래서 너가 한 짓이 아닐거라고 생각했어. 
talk	대리	의도한 상황이었다면 너가 그렇게 당황한 표정을 짓지도 않았을 것 같고..
talk	대리	핸들을 다시 돌리지도 않았겠지..
talk	나	...전, 정말 아니에요.............. / 아니었으면 좋겠어요..정말
narration	나레이션	대화 도중 사수가 들어 온다.
talk	사수	어? 둘이 같이 있네요? 
talk	대리	어~ 김대리 왔어? 
talk	나	대리님 오셨어요..?
talk	사수	아까 현빈씨가 과장님 심장병에 대해 부탁한 게 있어서 회사 사람들한테 / 이것저것 물어보고 오는 길인데요. 
talk	사수	과장님이 몇 달 전에 건강검진을 하셨는데..심부전 진단을 받으셨더라구요. 
talk	사수	부장님이 얼마 전에 같이 담배피면서 들었다고 하는데.. 
talk	나	심부전이요? 
talk	사수	심근병증이 심부전의 원인이 된다더라고..
talk	대리	아니 그런 양반이 회식을 그렇게 허구한날 잡아? 
talk	나	요즘 프로젝트 때문에 ..엄청 무리하셨는데..
talk	사수	과장님이 집보다 회사를 더 좋아하셨잖아.. / 일이 항상 최우선인 분이시라..
talk	사수	심지어 가족들은 심부전인 것도 모르고 있었나봐.. / 집에서 워낙 가족들이랑 대화를 잘 안하셨다더라고.
talk	사수	굳이 말해봐야 걱정만 하니까..그런거 말하시는 분도 아니고. 
talk	대리	심근병증이든 심부전이든..얼마 전에 건강검진 받으셨으면 기록도 다 남아 있을텐데.. 
talk	대리	왜 그런 기본적인 것도 확인을 안하고 우리를 무작정 용의자로 모는 거야? 
result		3
