유형	인물	대사
talk	나	지금 경찰이 가지고 있는 증거는 캔 커피에서 발견된 수면제 뿐인데, / 그것만으로 저나 류 대리님을 용의자로 확신할 수 있을까요?
talk	사수	글쎄... 경찰이 열심히 조사 중인 것 같기는 한데,/추가적인 증거가 나오지 않는 이상 범인 지목은 어렵지 않을까?
talk	나	최근들어 과장님 심장병이 안 좋아진 것도 사실이구요./요즘은 호흡 곤란 때문에 무조건 엘리베이터 고집하셨잖아요.
info		심장병/과장님은 최근에 계단을 오르기 힘들 정도로 심장병의 상태가 갑자기 악화되었다.
talk	나	...회사 사람들한테 과장님 지병 관련 진술 받아 주실 수 있나요? 
talk	나	저와 류 대리님의 결백을 밝히는데 도움이 될 것 같아요.
talk	사수	그래, 나도 너나 류 대리님이 범인일 거라고 생각하지 않아./그 부분은 내가 힘 써볼게. 그럼 이따 다시 올게!
image		
narration	나레이션	(사수가 나간다.)
endScene		
image	대리	
narration	나레이션	(늦은 오후, 사수를 기다리고 있는데 대리가 찾아온다.)
talk	대리	어제보다 몸은 좀 괜찮아졌어? 
talk	대리	...
talk	대리	어제, 오늘 너무 혼란스럽다. 다들 다른 얘기를 해서.
talk	대리	경찰은 네가 산 캔 커피에서 수면제가 나왔다고 하고,/유가족은 심장 관련 사인일 것이라고 주장하고...
talk	대리	난 네가 범인이라고 생각하지 않는데, 경찰은 아닌가봐.
talk	나	저도 저나 대리님이 범인이라고는 생각하지 않아요.
choice		혹시 대리님이랑 과장님 사이에 무슨 일이 있었는지 물어볼까?	굳이 확인할 필요가 있을까? 믿고 넘어갈래.
result		1	2
