유형	인물	대사
talk	대리	그러니까. 더군다나 넌 결혼을 앞두고 있잖아,/나도 아내와 딸이 있고. 우리가 뭐가 아쉽다고.
talk	대리	그리고 동승자가 운전자에게 수면제를? 같이 죽을 수도 있는데?
talk	대리	정말 죽이고 싶었다면 다른 방법을 택했겠지. 너도. 나도.
talk	나	사실 저희도 이 사건의 피해자인데, 용의자로 몰리고 있으니...
talk	나	혹시... 저 사고 당일날 평소 같지 않았던 부분이 있었나요? 
talk	나	제가 기억이 없어서 정말 답답하네요. 
talk	대리	딱히? 출근하자마자 출장 통보를 들어 정신이 없기는 했지?
talk	대리	그리고 그 날도 처음 가는 길을 헤매서 어쩔 줄 /몰라하고 있었고. 그건 참 평소의 너다웠지!
talk	나	휴게소에서는 어떤 일이 있었던거에요? 교대한 것까진 알겠는데.
talk	대리	너랑 과장님은 화장실에 갔다왔고, /난 담배를 피고 마지막으로 차로 돌아갔어.
talk	대리	셋이 차에 탄 다음에는 과장님이 운전대를 잡고 출발했고.
talk	대리	그냥 너무 평소 같았는데? 이상한 점이 정말 하나도 없었어
talk	대리	그리고 그 커피 말인데, 난 과장님이 커피 마시는 걸 못 봤거든?
talk	대리	대체 언제 마신건지 모르겠네..
talk	나	그래요? 커피 마시는 걸 못 보셨어요? 
talk	대리	응. 다시 출발하고 나서 뒷자석에서 잠깐 눈을 붙이려고 했는데,
talk	대리	네가 과장님한테 괜찮냐고 소리 지르는거 듣고 잠이 깼거든.
talk	대리	과장님은 정신을 잃은 것 같았고, 넌 다급하게 핸들을 붙잡았는데/이미 차는 펜스를 향해 달려가고 있더라. 그게 마지막 기억.
info		결백/나와 류 대리님 모두 과장님을 살해할 동기가 없다. 심지어 나는 쓰러진 과장님을 보호하려고 노력했다.
talk	나	...정말 기억이 하나도 안 나네요 ...그랬었구나.
talk	대리	그래서 네가 한 짓이 아닐거라고 생각했어. 
talk	대리	의도했으면 당황한 표정을 짓지도, 핸들을 돌리지도 않았겠지?
talk	나	...전, 정말 아니에요./아니었으면 좋겠어요, 정말.
choice		휴게소에서 다른 사람이 차에 접근하지는 않았을까?	과장님이 휴게소에서 화장실만 가신건지 물어볼까?
result		1	2
