유형	인물	대사
image	대리	사수
narration	나레이션	(대화 도중 사수가 들어 온다.)
talk	사수	어? 둘이 같이 있네요? 
talk	대리	어~ 김 대리 왔어? 
talk	나	대리님 오셨어요..?
talk	사수	아까 현빈씨가 과장님 심장병에 대해 부탁한 게 있어서/회사 사람들한테 이것저것 물어보고 오는 길인데요. 
talk	사수	과장님이 몇 달 전 건강검진에서 심부전 진단을 받으셨더라구요. 
talk	사수	부장님이 얼마 전에 같이 담배 피면서 들었다고 하는데.. 
talk	나	심부전이요? 
talk	사수	부장님이 원래 심근병증이 있다고 하셨었잖아. /그게 심부전의 원인이 된다더라고...
talk	대리	아니 그런 양반이 회식을 그렇게 허구한날 잡아? 
talk	나	요즘 프로젝트 때문에 엄청 무리하셨는데...
talk	사수	뭐 과장님은 일이 항상 최우선인 분이시라...
talk	사수	심지어 가족들은 심부전인 것도 모르고 있었나봐.
talk	사수	굳이 말해봐야 걱정만 하니까... 그런거 말하실 분도 아니고. 
talk	대리	심근병증이든 심부전이든, 건강검진 기록도 다 남아 있을텐데,/왜 기본적인 것도 확인 안 하고 우리를 용의자로 모는 거야? 
talk	사수	그러게요. 제가 오늘 회사 정보통들이랑 다 얘기하고 왔으니까/ 혹시 또 뭐 궁금한 거 있으면 물어보세요.
choice		다른 용의자가 있을 가능성에 대해 물어본다.	과장님의 정신 상태에 대해 물어본다.
result		1	2
