유형	인물	대사
talk	나	혹시 과장님이 요새 정신적으로 힘드셨는지 알고 계세요?
talk	나	타살이라고 하기엔, 용의자로 지목된 저희 목숨도 /위험했던 상황이라서요.
talk	나	혹여나 과장님께 요즘 힘든 일이 있으셨던 건 아닌지...
talk	나	...원래 과장님이 평소에 힘든 걸 잘 말씀하지 않으셨잖아요.
talk	사수	아, 그것도 아까 사람들한테 물어보긴 했었는데 /친했던 분들 말로는 자살을 결심하실만한 일은 없었던 것 같아. 
talk	사수	과장 진급하신 지 얼마 안되셔서 업무 스트레스가 심하긴 했는데,
talk	사수	그거야 뭐, 모든 회사 사람들이 겪는 수준이고...
talk	사수	가족들이랑 보내는 시간이 부족해 보이긴 했는데.../그렇다고 도 불화가 있었던 것도 아닌 것 같고
talk	사수	우리 회사 사람들 중에 정시 퇴근하는 사람이 있기는 한가?
talk	사수	야근하고 그러다 보면 다 똑같지 뭐
talk	사수	정말 아무도 모르는 과장님만의 사정이 있었을 수도 있겠지만.../적어도 내가 아는 선에서는 큰 문제가 없었던 것 같아. 
result		1
