유형	인물	대사
dayStart		사고 이후 6일차	희망
background		Background_Hospital
think	나	으, 몇 시지?
narration	나레이션	(병실 벽의 시계가 오전 6:49를 가리키고 있다.)
think	나	다행이다, 선배님 오시기 전에 깼네./어제 정신이 너무 없어서 몇 시에 오시는지도 못 여쭤봤다.
think	나	이게 다 무슨 일이람... 아무리 생각해도 /내가 과장님을 살해했을 리가 없는데.
think	나	아니, 근데 수면제라니. 내가 이걸 구할 수는 있는건가?/처방이 필수 아닌가? 난 수면제를 본 적이 아예 없는데?
think	나	그리고 경찰은 또 왜 말을 함부로 해? 자수하라니..!/내가 산 캔에서 수면제 성분이 나왔다고 해서/내가 넣은 것은 아닌데.
think	나	오늘은 어떻게든 대리가 범인이라는 증거를 찾아야겠어./무죄추정의 원칙은 어디 가고 내가 증거를 찾아야하는 건지...
image	사수	
narration	나레이션	(문을 열고 들어오는 사수. 아직 해도 뜨지 않은 시간이다.)
talk	나	깜짝이야, 엄청 일찍 오셨네요! 저 혼자라 불 키셔도 돼요.
talk	사수	일찍일찍 와야지, 안 그러면 조금 있다 출근할 때 길 막힌다고./네가 기억이 없다고 하니까 계속 신경 쓰여서 잠도 안 왔고.
talk	나	안 그래도 어제 경찰이 왔다 갔는데 기분이 안 좋네요.
talk	나	그 뉴스에 나온 수면제 음료, 제가 산 캔 커피였다고 하는데,/마치 제가 거기다 수면제를 탄 것처럼 말하더니 막 자수하라고.
talk	사수	...
talk	사수	물론 경찰이니까 모든 가능성을 고려해야 하는 것이 맞는데.../구매 증빙은 있는거지? 네가 산 캔 커피라고 확신하는거 보면?
talk	나	네, 영수증 직접 확인했어요. 카드도 제 개인 카드가 맞구요.
talk	사수	어떤 바보 범죄자가 그렇게 증거를 다 남겨가며 살인을...
talk	사수	근데 증거가 더 나오기 전에는 할 수 있는게 없는거 아니야?/너도 대리님도 서로 무죄를 주장하고 있는 상황이잖아.
talk	나	왜 경찰은 수면제의 출처를 중요하게 여기지 않는 것일까요?/저도, 대리님도 수면제를 처방 받지 않는 사람들인데.
talk	나	...이미 조사해봤더니 마땅한 정보가 나오지 않은건가?
talk	사수	수면제는 잘 모르겠고, 사실 어제 까먹고 못한 얘기가 있어서./너 박 대리님한테 류 대리님 관련해서 얘기 들은거 없지?
talk	나	박 대리님이요? 누군지 잘 모르겠어요.
talk	사수	어디서부터 얘기해야지? 우리 팀 이번 프로젝트 난리였잖아./과장님이랑 대리님이랑 갈등도 많았고, 밤도 자주 샜고.
talk	나	진짜 류 대리님 과장님 비위 맞추려고 얼마나 노력하셨던지.../표정 숨기는걸 못하시는 분이라 하나같이 다 드러나긴 했어도.
talk	사수	과장님 눈에는 그게 아니꼬웠나봐. 그러려니 하고 좀 넘기시지./사내 카페에서 전무님한테 류 대리님 흉을 대놓고 보셨더라고.
talk	나	아무리 과장님이어도 사내 카페같은 공개적인 장소에서?
talk	사수	박 대리님이 지나가다 들었대. 진짜 우연히 들은거지.
talk	나	류 대리님이랑 과장님이랑 입사 동기 아니였어요?/과장님이 전무님 라인 잘 타서 먼저 승진하신거고.
talk	사수	맞아, 류대리님 퇴사 고민도 많이하셨다는데 버티신 걸로 알아. /근데 박 대리님이 뒷담화했다는 얘기를 류 대리님한테 굳이 전해서... 
talk	나	아휴... 다른 사람도 아니고 전무님이면 대리님 엄청 화났을 것 같은데요.
talk	사수	그러게 말이야. 화를 주체하질 못하셨다네.
choice		류 대리님께 너무 확실한 살해 의도가...	아직 확신하기에는 증거가 부족한 것 같다.
result		1	2
