유형	인물	대사
talk	나	네, 정 급하시면 여동생 번호로 연락주세요.
image		
narration	나레이션	(여동생의 번호를 받은 선배가 병실을 떠난다.)
narration	나레이션	(곧 이어 들어오는 여동생. 밖에서 기다리고 있었던 것 같다.)
image	여동생	
talk	나	밖에서 기다리고 있었던거야? 언제부터 밖에서 있었던거야.
talk	여동생	잠이 안 와서 복도 서성이다 왔는데 사수님? 오신 것 같더라고./오래 안 계실 것 같아서 몇 바퀴 더 돌고 왔어. 가신거야?
talk	나	혹시 선배님이랑 얘기한거 들었어?
talk	여동생	마지막만 조금? 안에 계시는지 확인하려고 잠시 이어폰 뺐지.
talk	여동생	뭘 그렇게 기분 나쁘게 얘기해? 엿들을 사람 아닌거 알잖아?/무슨 안 좋은 얘기야...?
talk	나	아니아니, 사수님이 무슨 얘기해주셨는지 알려주려고 그러지./류 대리님이 과장님한테 화나있을만한 이유가 있더라고.
talk	여동생	진짜? 살해 동기 찾은거야?
talk	나	아니 뭐, 그렇게까지 단정적으로 얘기하기는 이른 것 같은데,/내가 류 대리님이랑 과장님이랑 입사 동기라고 그랬었잖아
talk	여동생	응, 과장님이 라인 잘 타서 먼저 승진한 거라며./나 같았으면 아부 잘해서 승진한 입사 동기 밑에서 일 못해.
talk	나	근데 세상에 과장님이 전무님한테 류 대리님 흉을 봤다는거야./박 대리님이 그걸 들어서 류 대리님한테 얘기했다고 하더라고.
talk	나	아, 그리고 선배님한테 네 번호 알려줬어. 내가 폰이 없어서.
talk	여동생	아 진짜, 나 우울증 걸리고 폰 번호 바꾼거 뻔히 알면서./진짜 친한 사람들 아니면 알려주지 않는 그 번호를 알려줬다고?
talk	나	어쩔 수 없었어. 내 핸드폰은 사고 현장에서 못 찾은거야?
talk	여동생	아, 지갑이랑 같이 받았는데, 액정이 파손돼서 수리 맡겼어./수리 다 됐다고 했는데, 아마 내일 가서 받아오게 될 것 같네?
talk	나	진짜 고마워. 혹시나 선배님한테 연락오면 꼭 좀 바꿔줘./아마 전화하실 것 같은데, 선배님 번호 저장해놔줄까?
narration	나레이션	(여동생이 건넨 폰에 전화번호를 입력해서 돌려준다.)
talk	여동생	아무튼 뭐라도 나와서 다행이다. 오빠가 범인일 이유가 없는데!
talk	나	그러니까. 결혼을 앞둔 멀쩡한 사원이 그럴 이유가 없잖아?/만약 내가 범인이었어도 굳이 동반자살을 했을 이유가 없는걸?
talk	여동생	회사에 불만이 많던 대리님이 과장님께 수면제를 먹이고/혼자만 내려서 살려고 했던거야? 오빠도 같이 죽이려한거네?
choice		그렇다. 같이 죽이려고 한 것이다.	잘 모르겠다. 같이 죽이려고 했다고?
result		1	2
