유형	인물	대사
dayStart		사고 이후 6일차	절망
background		Background_Hospital
think	나	지금 시간이... 10시 13분인가.../아침에 이렇게 느긋하게 일어나는게 정말 얼마만이지...
think	나	피로감 없이 일어나서 기분이 좋기는 하지만.../어제 일을 생각했더니 눈 앞이 깜깜해진다.
think	나	내가 왜 과장님을 살해했을까... 왜? 무슨 이유 때문에?
image	사수	
narration	나레이션	밖에서 노크 소리가 들린다. 뒤이어 사수가 들어온다.
talk	나	아 선배님 안녕하세요.
talk	사수	어. 몸은 좀 어때? 어제보다 괜찮아?
talk	나	네... 특별히 아픈 곳은 없는데.../아직도 사고 전날이랑 당일의 기억이 안나네요...
talk	사수	어제 경찰이 왔다갔다면서? 무슨 얘기 했어?/뭐 특별한 얘기는 없었을 것 같은데.
talk	나	저... 그게... 과장님 체내에서/졸피뎀이 발견됐었다는 소식은 들으셨죠?
talk	사수	응. 들었지. 뉴스에서 얘기해줬었잖아.
talk	나	네.. 그 졸피뎀 성분이 검출된 커피가 현장에서 발견됐는데
talk	나	제 카드 내역에서 그 커피를 산 기록이 남아있고/커피캔에 지문도 남아있어서 
talk	나	제가 유력한 용의자라고 하더라구요.
talk	사수	뭐? 네가? 뭔가 잘못안거 아니야?/네가 무슨 이유로 과장님을 죽여.
talk	나	그렇긴한데... 제가 기억이 없어서...
talk	사수	너까지 그렇게 생각하면 안되지./경찰이 뭔가 잘못 안 걸수도 있잖아.
talk	나	그렇겠죠...?
think	나	선배님은 나를 전적으로 믿고 계시는구나.../그럼 선배님께 부탁해서 다른 증거들을 좀 모아볼까?
talk	나	선배님, 그럼 혹시 저 좀 도와주실 수 있으세요?
talk	나	제가 기억도 없고 여기서 나가기도 힘들어서/선배님이 뭐 좀 알아봐주셨으면 좋겠는데...
talk	사수	당연하지! 말만 해. 어떤 걸 알아봐줄까?
talk	나	류 대리님이 사고 당일에 과장님이랑 둘만 같이 있었던/시간이 있었거나 아니면 캔커피를 샀는지가 궁금해요.
think	나	대리님이 내가 없는 사이에 졸피뎀을 넣어서 먹였을 수도 있고/ 내 커피를 보고 같은 제품을 구매했을 수도 있다.
think	나	둘 중 하나라도 알아낼 수 있다면/내가 용의자에서 벗어나진 못해도 
think	나	적어도 대리님을 동등한 용의선상에 놓을 수는 있을 것이다.
talk	사수	좋아. 그럼 네가 부탁한거 알아보고 오늘 저녁에 다시 올게./그 동안 몸조리 잘하고 혹시 뭔가 기억나는거 있으면 알려줘.
talk	나	네. 감사합니다. 선배님
image		
narration	나레이션	(사수가 나가자 병실은 다시 조용해졌다.)
think	나	이해가 안된다.
think	나	내가 만에 하나 범인일 수도 있겠지만,/정황상 너무 이해가 안 된다.
think	나	내가 과장님을 갑자기 죽도록 미워하게 될 구체적인/계기가 있나? 그 짧은 이틀 사이에?
think	나	그리고 내가 어떻게 죽인거지? 난 졸피뎀이 어떻게 생긴/약인지도 모르는데 그걸 어떻게 구한거야?
think	나	...
think	나	아무리 생각해도 내가 범인일 것 같지가 않다.../그래, 설마 내가 사람을 죽였겠어?
think	나	하지만 그렇다고 경찰이 나를 의심하고/있는 것이 변하는건 아니다.
think	나	분명 내일 최종 진술을 받는다고 했지.../그러면 진실을 찾아낼 시간은 오늘밖에 없다.
think	나	가만히 있다가 억울하게 잡혀갈 수는 없으니까/내가 범인이 아니라는 증거를 최대한 찾아봐야겠어.
think	나	선배님께도 부탁드려놨지만 신뢰할 수 있는/주변 인물들에게 좀 더 물어봐야지.
think	나	사고 전날에 내가 예진이랑 같이/있었을테니까 예진이한테 물어볼까?
think	나	아니면 여동생이 뭔가 더 알고 있는게 있을지도/모르니 여동생에게 물어볼까?
choice		여자친구에게 물어본다.	여동생에게 물어본다.
result		1	2
