유형	인물	대사
narration	나레이션	(밖에서 노크하는 소리가 들린다.)
talk	여동생	오빠, 들어갈게.
image	여동생	
talk	여동생	잘 잤어? 몸은 좀 어때?
talk	나	어. 어제보다는 좀 괜찮은 것 같아.
talk	여동생	오빠, 어제 경찰 분 왔다가셨잖아? 뭐라고 하셨어?
talk	나	그게... 졸피뎀이 검출된 커피를 내가 구매한 기록이 있어서,/그리고 거기서 내 지문이 나와서 내가 유력 용의자래.
talk	나	기억이 안나면 변호사라도 선임하라고 하더라...
talk	여동생	음... 그렇구나...
talk	여동생	아무리 그래도 오빠가 과장님을 살해할 이유도 방법도 없잖아.
talk	나	그렇...겠지...?
talk	나	아 맞아. 내 핸드폰 아직 수리중이야? 언제 수리 맡긴거야?
talk	여동생	어...? 어... 그게 언제였더라...
talk	나	핸드폰이 없으니까 연락도 편하게 못하고, 너무 답답하네.
talk	여동생	아..! 그 내가 정신이 없어서 수리를 좀 늦게 맡겼어./엊그젠가?에 맡겨서 시간이 좀 걸릴 것 같아.
talk	나	그래? 하긴, 너도 많이 놀랐겠다...
talk	나	그럼 나 예진이랑 통화라도 하고 싶은데 네 핸드폰 좀 빌려줘.
talk	여동생	어...? 어... 그게...
narration	나레이션	(여동생의 핸드폰이 울린다.)
talk	여동생	어? 오빠 미안. 나 전화와서 잠깐 받고 올게!
image		
narration	나레이션	(여동생이 가방에서 핸드폰을 꺼내 급하게 밖으로 나간다.)
think	나	급한 전화인가보네.../하긴 나 때문에 평일에 시간내서 온거니까...
think	나	근데 핸드폰 빌려달라는 말에 왜 저렇게 당황하지?
narration	나레이션	(여동생의 가방에서 진동소리가 들린다.)
think	나	어라? 방금 전화받으러 나간거 아닌가?
think	나	왜 태희 가방에서 진동소리가 들리지? 업무용 폰인가?
choice		핸드폰을 꺼내본다.	여동생이 올 때까지 기다린다.
result		1	2
