유형	인물	대사
think	나	아무리 여동생이라고 그래도 남의 가방을 뒤지는 건 안되지./여동생이 돌아오면 전화왔었다고 알려줘야겠다.
image	여동생	
narration	나레이션	(얼마 뒤 여동생이 돌아왔다.)
talk	여동생	어. 오빠. 많이 기다렸어? 미안./나 회사에서 갑자기 급한 연락이 와서.
talk	나	미안하다. 나때문에 회사도 빠지고... /아, 그런데 너 업무용 핸드폰이 따로 있어?
talk	여동생	어? 아니? 뭐... 주변에서 그러라는 사람들은 있었는데/나는 귀찮아서 그냥 이거 하나밖에 안 쓰는데? 갑자기 왜?
talk	나	그래? 근데 너 전화 받으러 나갔을 때/가방에서 진동이 울려서. 그럼 그거 네 폰 아니야?
talk	여동생	어? 어...! 아니야. 아하하. 깜빡했다./나, 그, 최근에 핸드폰 하나 새로 만들었어!
think	나	뭐지? 여동생의 반응이 이상하다.
talk	여동생	그! 어. 자꾸 톡방도 착각하고 해서 불편해서/얼마 전에 핸드폰 새로 하나 만들었었지. 참!
talk	여동생	나 건망증 있나봐. 이런걸 까먹고 말이야.. 하하.
talk	나	...너 뭐 숨기는거 있구나? 방금은 핸드폰 하나만 쓴다며?
talk	여동생	아.. 아니야! 진짜야... 내가 착각해서 그래!
talk	나	그럼 보여줘봐. 그 가방 안에 있는 핸드폰.
narration	나레이션	(머뭇거리던 여동생이 이내 가방에서 핸드폰을 꺼낸다.)
object		Phone_Normal
talk	나	이거... 내 핸드폰이네...?
talk	여동생	...
talk	나	이거 그럼 수리 맡긴게 아니라 네가 그냥 숨기고 있었던거네?
talk	나	 왜 너가 나한테 거짓말을...
talk	나	어...? 예진이? 예진이한테 온 전화였잖아?
object		Phone_Calling
image		
narration	나레이션	(곧바로 예진이한테 전화를 건다.)
talk	나	예진아~!!
talk	예진	어...? 어...
talk	나	내가 먼저 연락하지 못해서 미안해. 많이 놀랐어?
talk	예진	어... 아냐...
talk	나	미안해. 나 핸드폰 고장난 줄 알고 연락 못했어.
talk	예진	어... 그렇구나. 괜찮은 것 같아서 다행이다.
talk	나	근데 목소리가 왜 그래? 일이 많이 힘들어?/또 과장님이 트집 잡고 그래?
talk	예진	그냥 너 사고났다고 들었는데 괜찮은가 해서 연락한거야.
talk	나	응. 팔 뼈에 금 간 것 빼고는 괜찮은데/사고 전날부터의 기억이 없어.
talk	예진	기억이 없다고? 11월 11일부터의 기억이 아예 없는거야?
talk	나	응. 네 생일 맞이 여행간 것도 기억이 안나지 뭐야./여동생이 말 안해줬으면 모를 뻔했어.
talk	예진	뭐? 여행? 내 생일 여행?
talk	나	어? 어... 11일이 예진이 생일이니까 당일치기로 강릉 가기로...
talk	예진	지금 장난해? 그날 너가 놀러가자고/연차까지 써놓고서는 연락도 안 받았으면서?
talk	나	어...? 내가 안나갔다고...?
think	나	우리가 여행을 안 갔다고? 하지만 분명 태희가...
narration	나레이션	(두 사람 사이에 무거운 침묵이 깔린다.)
talk	예진	그래. 너 기억 잃은거 진짜인 것 같으니까 말해줄게./그 날 너 약속에 결국 안나왔어.
talk	예진	내가 기차역에서 얼마나 기다렸는 줄 알아?/그 자리에서 3시간은 기다렸다고!
talk	예진	그래놓고 나중에 하는 말이 기가 막히더라.
talk	예진	어제 술을 너무 많이 마셔서 일어나지 못했다고.../맨날 똑같은 그 소리. 너무 지겨워.
talk	나	어...? 어... 그게...
talk	예진	됐어. 이제와서 변명이야? 기억도 안나는 애가 무슨 변명이야?
talk	예진	그리고 어차피 이제 너랑 나랑은 파혼한 사이니까.
talk	나	뭐...? 파혼?
talk	예진	아무튼 너 몸 멀쩡한거 확인했으니까 됐어. 끊는다.
talk	나	어...? 자...잠깐만! 예진아?
object		None
narration	나레이션	(통화는 이미 끊어져 있다.)
info		파혼/여동생이 나를 속였다. 여동생의 가방에서 나온 내 핸드폰을 통해 사고 전날 나는 숙취로 인해 예진이와의 여행에 가지 못해서 파혼당했다는 사실을 알게 되었다.
narration	나레이션	(병실에 정적이 흐른다.)
think	나	...파혼이라고?
think	나	몇 달 간 회식에 끌려다니고 집에 새벽같이 들어가면서/예진이와 계속 문제가 있었던 것은 맞는데.
think	나	그래서 생일에 휴가까지 내고 모처럼 여행을 가려고 한건데/그 기회를 멍청하게 회식으로 망쳐버리다니...
think	나	그날 회식에 가면 안됐어... 아니 애초에 과장이 끌고 가지만 않았어도...
think	나	...
think	나	설마 진짜 내가 한걸까?
think	나	지금 기분이라면... 정말 내가 죽인 것일지도 모른다.
image	여동생	
narration	나레이션	(한참의 정적을 깨고 여동생이 입을 열었다.)
talk	여동생	오빠 미안...
result		1
