유형	인물	대사
talk	나	왜 숨겼어?
talk	여동생	...
talk	나	내 핸드폰 왜 숨겼냐고.
talk	여동생	아... 아니야. 숨긴 거 아니야. 그냥... 단지...
talk	나	내가 예진이랑 파혼한 사실 모르게 하려고 숨긴거야?
talk	여동생	어? 그... 그게 아니고...
talk	나	뭔가 이상했어. 예진이 이야기만 나오면 주제를 돌리고.
talk	나	왜 숨긴거야? 그리고 뭔가 나한테 안 알려준게 있는거지?
talk	여동생	...
think	나	태희가 나한테 거짓말을 하고 나를 속였다는게 너무 충격이다./단 한 번도 이런 적이 없었던 여동생인데, 대체 왜.
think	나	나를 골탕 먹이려는 것은 아닐거야. 분명 무슨 이유가...
talk	나	너... 설마 내가 과장님을 죽였다고 생각하는거야?
talk	여동생	...
talk	여동생	과장님 때문에 파혼 당했다고 생각할까봐.../과장님을 죽였다고 스스로를 의심할까봐...
talk	여동생	오빠가 기억이 없다고 하니까 나만 입 다물고 있으면/모든게 해결될 것 같았어. 오빠도 불리해지지 않고.
talk	나	아무리 그래도 그렇지 너가 나한테 거짓말을...
think	나	뭔가 더 알고 있는 건 아니야? 솔직히 말해./그 날 내가 파혼 당한 게 네가 알고 있는 전부야?
think	여동생	...
talk	나	그래. 더 있구나... 설마 수면제 관련이야? 그런거야?
talk	여동생	...오빠가 예진 언니랑 파혼한 날 내가 수면제 한 알을 챙겨줬어.
talk	나	네가 나한테 수면제를 줬다고? 왜?/아니 그리고 너는 그걸 어떻게 가지고 있어?
talk	여동생	그게... 오빠가 힘들어서 도저히 잠이 안 온다고 해서/ 잠이라도 편히 자라고 내가 가지고 있던거 조금 줬어.
talk	나	...너는 그걸 어디서 구했는데?
talk	여동생	나야 우울증 때문에 꾸준히 처방 받고 있으니까.
info		수면제/파혼의 충격으로 힘들어하는 나에게 여동생은 처방받은 수면제를 건네주었다.
think	나	이제 의문들이 서서히 풀리는 것 같다.
think	나	과장의 회식 때문에 예진이의 생일 파티에 나가지 못했고/너무 분노한 나머지 여동생에게서 받은 졸피뎀으로
think	나	내가 과장님을....
talk	여동생	오빠! 그래도 난 오빠가 사람을 죽였을거라고 생각하지 않아.
talk	여동생	그러니까... 어... 성급하게 단정짓지는 말아줬으면 좋겠어...
talk	여동생	그... 파혼 얘기 때문에 머리 아플텐데 일단 혼자 쉬고 있어.
image		
narration	나레이션	(여동생이 가방을 챙기고 밖으로 나간다.)
think	나	아니야. 아닐수도 있어. 그래도 살인이라니./에이, 아무리 그래도 내가 진짜로 사람을 죽였겠어...?
think	나	오히려 류 대리님이 꾸며놓은 함정일 수도 있지...! /아니면 대리님이 범인이라는 더 명확한 증거를 찾을지도 몰라.
think	나	선배님이 뭔가 중요한 정보를 가져오실 수도 있잖아?
think	나	일단 다른 가능성을 생각해보는 편이 좋겠어.
image	사수	
narration	나레이션	(사수가 병실로 들어온다.)
talk	사수	어. 현빈씨, 다친데는 어제보다 좀 괜찮아?
talk	나	네... 뭐... 다친 것보다는 기억을 잃어버린게 더 큰 문제라서요.
talk	사수	원래 교통사고 이후에 단기 기억상실이 발생하기도 한대./기억이 곧 돌아올거야. 조금만 기달려보자.
talk	나	네...
talk	사수	아, 맞아. 네가 알아봐달라고 한 것 말인데, /내가 다른 사람들한테 물어보면서 좀 알아봤거든.
talk	사수	음... 근데 그게... 아니다. 어떤게 궁금해?
choice		류 대리님의 알리바이	류 대리님의 커피 구매 내역
result		1	2
