유형	인물	대사
dayStart		사고 이후 7일차	종결
background		Background_Hospital
narration	나레이션	(경찰은 지체 없이 오전 10시에 찾아왔다./여전히 기억은 돌아오지 않았다.)
think	나	일단 대리님이랑 나는 범인이 아니지만/그렇다고 범인이 누구인지는 모르겠다...
think	나	그런 상태로 그냥 유족들 말대로 심장마비 쪽으로 몰아가고/보자는 스탠스라 혼란스럽고 정리가 잘 되지 않는다.
think	나	대리님도 지금 나랑 같은 심정이겠지... 아, 누구 짓인지/괜한 음모에 빠져버려서 이 고생이라니!
narration	나레이션	(태희는 굉장히 긴장한 눈치였다.)
talk	나	왜 너가 더 긴장하냐, 동생? 걱정 마. 안 잡혀갈거니까!
think	나	일부러 더 당당하게 큰소리쳤다. 경찰과 대리님이 문 앞에서/내가 나오기를 기다리고 있다.
narration	나레이션	(태희는 나에게 격려와 걱정이 섞인 눈빛과 미소를 보내면서/가보라고 했고, 나도 긴장된 미소를 지어보인 뒤 병실을 나왔다.)
endScene		
image	경찰	대리
background		Background_Hospital_OneRoom
narration	나레이션	(근처의 비어있는 1인실에 탁자와 의자 여러 개가 세팅되어/있었다. 대리님이랑 나는 서로 응원의 눈빛을 주고받았다.)
talk	경찰	나현빈 씨, 아직도 기억나는 게 없으세요?
talk	나	...네.
talk	경찰	안타깝지만 어쩔 수가 없네요. 그럼 본인이 알고 있거나/기억하는 선에서 답변을 해주시면 됩니다.
talk	나	알겠습니다.
talk	경찰	조사 시작하겠습니다. 류규원 씨는 평소 과장분과의/사이가 어땠죠? 
talk	경찰	회사 동료들에 따르면 관계가 좋지 않았고, 류규원 씨가/과장을 좋아하지 않는 것처럼 보였다는데...
talk	대리	아니에요. 평소에 회사일 하면서 안 맞는 부분도 있고 충돌이/있긴 했어도 그건 어느 회사에서나 상사랑 늘 있는 수준의 갈등이었어요.
talk	대리	그것 때문에 사람을 죽이면 싸이코패스죠.
talk	경찰	같은 팀인 나현빈 씨가 보기에는 대리와 과장의/사이가 어땠습니까?
talk	나	심각한 갈등은 없었어요. 비즈니스적인 갈등/그 이상도 아니었고요.
talk	경찰	그렇습니까? 본인이랑 과장분과의 관계는 어땠죠?
talk	나	회사 사람들한테 물어보시면 알겠지만 저는 과장님이랑 갈등도/없었어요. 오히려 과장님이 저를 마음에 들어하셨어요.
talk	나	그래서 과장님을 해할 이유가 전혀 없어요. 우린 둘 다/멀쩡한 사람들이고, 웬만한 일로는 사람 못 죽여요.
talk	나	근데 그런 일을 저지를 만한 동기가 없잖아요.
talk	대리	아니 애초에, 저희가 만약에 과장님을 해치려고 했으면/과장님만 죽여야하는데 우리는 같이 차에 타 있던 입장이라/그럴 수가 없어요.
talk	대리	제가 휴게소 근처에서 내릴 예정이었다고 해도/어쨌든 저도 같이 사고를 지금 당했잖아요.
talk	대리	같이 죽을 수도 있는 위험을 감수하면서까지 같은 차에 타 있는/상황에서 사람을 죽일 이유가 없어요. 상식적으로.
talk	대리	게다가 과장님이 싫으면 그분만 죽이지, 사이가 나쁘지도 않은/사원을 같이 죽일 이유도 더더욱 없고요.
talk	나	저도 마찬가지에요. 제가 일부러 운전자인 과장님을 죽이려고/했으면 저는 동반자살을 시도한 게 되는 거거든요.
talk	나	근데 제가 그런 어마무시한 일을 할 맥락이 전혀 없어요./저는 결혼을 앞둔 정말 평범한 회사원이에요.
talk	경찰	그런데 분명 나현빈 씨 커피캔에 졸피뎀이 들어있었고,/과장 분이 졸피뎀을 복용한 시점도 휴게소에서 출발할 때/쯤으로 분석이 됩니다.
talk	경찰	그게 문제에요. 일부러 길을 헤매서/운전자를 바꾸려고 한 거 아닙니까?
choice		내가 원래 초행길을 잘 헤매는 습성이 있다는 점을 말하자.	과장님이 운전할 걸 어떻게 예상했겠냐고 반박하자.
result		1	2
