유형	인물	대사
talk	경찰	그럼 다시 졸피뎀 얘기로 돌아오고 싶은데,/류규원씨, 당시에 처방 받은 졸피뎀은 어떻게 되었나요?
talk	대리	어떻게 되다니요?
talk	경찰	다 드신건가요? 최근까지 남은 약을 가지고 계셨다거나?
talk	대리	당시에 다 복용한 걸로 기억해요. /처방을 받지 않은 지도 아주 오래됐고요.
narration	나레이션	(류 대리가 평정을 유지하기 위해 노력하고 있음이 보인다.)
talk	대리	그리고 설사 제가 그 약을 몇 년 동안 가지고 있었어도,/어떻게 그것을 캔 커피에 넣어 과장님이 드시게 했을까요?
talk	경찰	오해하지 마세요, 류규원씨가 피의자라고 얘기하는게 아닙니다. /다만 나현빈씨한테는 처방 기록이 아예 없어서요. 
talk	경찰	아무래도 이 부분에 있어서는 한 번이라도 졸피뎀을 /처방받은 적이 있는 류규원 씨가 불리한 게 어쩔 수 없어요.
talk	대리	저기요. 제가 몰래 졸피뎀을 넣을 수 있을 만한 상황도/없었다니까요. 제가 이미 전에 진술에서 그날 동선을/상세하게 설명드렸잖아요.
talk	경찰	아, 그러고보니 나현빈 씨는/아직도 기억이 돌아오지 않으신 게 맞나요?
talk	나	네. 사고가 난 전날, 그러니까 연차 쓴 날부터 기억이 없습니다...
talk	경찰	출장을 갈 때 본인이 주로 운전하시죠? 막내이시니까요.
talk	나	네, 휴게소 CCTV에서도 아마 제가 운전석에서 내렸을 거에요.
talk	경찰	참, 류규원씨, 첫 날 진술에서 셋이 동시에 내렸다고 하셨죠?
talk	대리	맞습니다.
object		TV_Day6
narration	나레이션	(경찰이 단독 뉴스로 보도된 CCTV 영상을 다시 보여준다.)
talk	경찰	여기에 보면 한 명이 늦게 내리는 것 같은데, 본인인가요?
talk	대리	...
choice		평상시 대리님이 조수석에 탄다는 사실을 설명한다.	저정도 시간 차이면 수면제를 타기에 충분함을 강조한다.
result		1	2
