유형	인물	대사
talk	경찰	그렇군요. 다시, 졸피뎀 얘기로 돌아오고 싶은데,/류규원씨, 당시에 처방 받은 졸피뎀은 어떻게 되었나요?
talk	대리	어떻게 되다니요?
talk	경찰	다 드신건가요? 최근까지 남은 약을 가지고 계셨다거나?
talk	대리	당시에 다 복용했으며, 추가로 처방을 받지 않았습니다.
narration	나레이션	(류 대리가 평정을 유지하기 위해 노력하고 있음이 보인다.)
talk	대리	그리고 설사 제가 그 약을 몇 년 동안 가지고 있었어도,/어떻게 그것을 캔 커피에 넣어 과장님이 드시게 했을까요?
talk	경찰	오해하지 마세요, 류규원씨가 피의자라고 얘기하는게 아닙니다./나현빈씨, 아직도 기억이 돌아오지 않으신게 맞나요?
talk	나	네. 사고가 난 전날, 그러니까 연차 쓴 날부터 기억이 없습니다...
talk	경찰	류규원씨에 따르면 나현빈씨가 휴게소를 가자고 했더군요./평상시에도 화장실을 가는 빈도가 높다는데, 사실인가요?
talk	나	맞습니다. 그래서 단거리 출장에서 화장실을 들리는 편입니다.
talk	경찰	그리고 출장을 갈 때 본인이 주로 운전하시죠? 막내이시니까요.
talk	나	네, 휴게소 CCTV에서도 제가 운전석에서 내리는 것 같더군요.
talk	경찰	참, 류규원씨, 첫 날 진술에서 셋이 동시에 내렸다고 하셨죠?
talk	대리	맞습니다.
narration	나레이션	(경찰이 단독 뉴스로 보도된 CCTV 영상을 다시 보여준다.)
talk	경찰	여기에 보면 한 명이 늦게 내리는 것 같은데, 본인인가요?
talk	대리	...
choice		평상시 대리님이 조수석에 탄다는 사실을 설명한다.	저정도 시간 차이면 수면제를 타기에 충분함을 강조한다.
result		1	2
