유형	인물	대사
talk	경찰	나현빈 씨. 동기나 정황이나 증거나, 이렇게 저렇게 다/따져보았을 때 안타깝지만 나현빈 씨가 범인으로 보여요.
talk	경찰	평소에 회사생활로 전여자친구와 갈등을 겪다가/파혼을 하면서 크게 상심을 하셨고, 
talk	경찰	그날 밤 여동생에게 받은 졸피뎀을 가지고/다음날 출근을 한 것이고...
talk	경찰	출근하면서 산 캔커피를 들고 출장을 가다가 휴게소에서/운전자가 바뀌면서 의도했든 아니면 충동적이었든,
talk	경찰	졸피뎀을 탄 커피를 과장분이 마시게 해서 동반자살을/시도하신 걸로밖에 결론이 나질 않습니다.
think	나	아무 말도 할 수가 없다.
think	나	대리님이 범인이라는 증거는 찾지 못했고, 애초에 나도/대리님이 범인이라고는 생각하지 않으니...
think	나	또 만에 하나 제삼자의 음해라고 해도 알 길은 없다.
think	나	내가 왜 이런 짓을 했을까. 경찰이 말한 게 다 맞을까? 하지만/경찰이 말한 것 외의 시나리오는 생각나지 않는다. 
endScene		
image		
background		Background_Black
narration	나레이션	(그렇게 나는 구속되었고, 몇 년의 징역형을 선고받았다.)
narration	나레이션	(모든 걸 잃었다. 후회 때문에 더 큰 후회를 남겼다./이미 늦었다. 죄송합니다, 과장님.)
result		28
