유형	인물	대사
dayStart		사고 전날	11월 11일의 진실
background		Background_Room
think	나	11월 11일. 예진이 생일이다.
think	나	...
think	나	으, 머리가 깨질 것 같다. 어제 회식을 달리기는 했는데...
think	나	3차 노래방 이후로 기억이 없네...
think	나	진짜 아무리 과장님이 술을 좋아하신다지만/어떻게 연차 쓴 날 새벽까지 술을 먹이는 거지?
think	나	와... 오늘 숙취 정말 심각하다... 몸을 도저히 움직일 수가 없어...
narration	나레이션	한동안 싸우고 서먹했던 예진이의 기분을 풀어주기 위해/생일에 연차까지 쓴 거였는데, 계획해뒀던 당일치기 여행은/결국 가지 못했다.
endScene		
background		Background_Cafe
narration	나레이션	점심 때가 지나서 겨우 숙취를 떨쳐내고/늦은 오후 예진이에게 갔다.
narration	나레이션	돌아온 것은 파혼이었다.
think	나	입사한 지 어느덧 1년이 되어가는데,/여전히 과장의 강압적인 회식에서 벗어나지 못했다.
think	나	나한테 과분한 회사였고, 결혼 자금 열심히 모으려고/누구보다 열심히 회사생활을 했다.
think	나	회사의 실세라인을 타서 승승장구하고 있는 과장님은/나를 마음에 들어했다. 이 기회를 놓치고 싶지 않았다.
think	나	잘 보이고 싶었고, 매일 같은 회식을 한 번도/거절할 수 없었다. 내 욕심이었다.
think	나	매일같이 새벽에 취한 채로 귀가하는 생활패턴은/예진이와 지속적인 갈등을 일으켰다. 
think	나	그리고 지금, 지긋지긋하다는 예진이의 말과 함께/우리 관계는 끝이 났다.
think	나	정신이 번쩍 든다. 바보같이 열심히 했던 건 예진이 때문었는데,/그걸 왜 잊고 이렇게 살고 있었던 거지? 하지만 이미 늦었다. 
endScene		
background		Background_Room
image	여동생	
talk	나	동생 뭐해? 나 잠을 못 자겠는데...
think	나	힘들 때 내 이야기를 들어줄/여동생이 가까이 산다는 건 정말 다행이다.
narration	나레이션	상황을 털어놓자, 여동생은 옛날에 처방받았던/졸피뎀 수면제를 몇 알 주었다.
talk	여동생	정말 필요하면 먹어. 많이 먹으면 큰일 난다.
talk	나	고맙다.
image		
narration	나레이션	태희가 가고 혼자 생각에 빠지면서,/스스로에 대한 분노와 함께 과장에 대한 분노가 찾아왔다.
think	나	과장을 완전히 이해하지 못하는 건 아니야./자나깨나 회사 생각 뿐이고, 집보다 회사를 좋아하는 분이니까. 
think	나	낮에 과장이 칼 같이 일하고 혼내는 만큼 근무 끝나고는/회포 풀려고 회식을 중요시하는 것도 알아. 다 안다고. 
think	나	근데 본인이 가정에 소홀하다고 내가 소홀하게 만들면/안 되는 거고, 본인이 일에 대한 열의가 남다르다고/남한테 똑같이 바라면 안 되는 거잖아.
think	나	적어도 과장이 마시라고 해서 마셨으면, 회사에서 피곤에/쩔어서 조는 걸로 개같이 혼내면 안 되는 거 아닌가?
narration	나레이션	순간 머릿속에 어떤 못된 생각이 스쳐갔다./졸피뎀 두 알을 먹고 겨우 잠에 들었다.
endScene		
dayStart		사고 당일	11월 12일의 진실
background		Background_Office
object		Coffee
narration	나레이션	다음날 나는 여느 때처럼 캔커피를 사서 출근했지만,/그 속에 졸피뎀을 넣은 상태였다.
narration	나레이션	과장이 아침에 커피를 사오라고 하면 이 커피를 섞고/하루종일 회사에서 졸며 일을 못하게 만들 생각이었다. 
think	나	그래, 나는 이성을 붙잡고 있는 쫄보니까... 정말 유치하지만/이게 내가 할 수 있는 최선이자 최소한의 보복이 맞겠지.
think	나	앞으로 내킬 때마다 이렇게 해서 의지랑 상관없이 일 못하는/기분을 느끼게 할까? 회식하자는 말도 안 나오게... 그건 너무 갔나?
object		None
narration	나레이션	하지만 계획대로 흘러가진 않았다. 
image	대리	
talk	대리	어제 잘 쉬고 왔어, 현빈 씨? 과장님이랑 오늘/원주로 출장 갈거야. 바로 출발하자.
think	나	뭐야... 오늘 출장이었어? 괜히 가져왔나.
endScene		
image		
background		Background_Car
narration	나레이션	나는 운전대를 잡고 출발했다. 커피는 옆의 컵홀더에 두었고,/한 모금도 마시지 않았다. 
narration	나레이션	문제는 내가 초행길 운전에 취약하다는 것이었다./길을 잘못 들자 답답했던 과장은 본인이 운전을 하겠다며 나섰다.
narration	나레이션	근처 휴게소에서 내려 화장실을 갔다 돌아오자,/과장이 운전석에 이미 앉아있었다.
narration	나레이션	운전석 옆에 있던 내 커피를 과장이 몇 모금 마셨다는 사실을/꿈에도 모른 채 나는 조수석에 올랐다.
narration	나레이션	대리가 돌아오자 차는 출발했다./곧 과장은 운전하다 말고 갑자기 쓰러지듯 고개를 떨궜다.
narration	나레이션	당황한 채 핸들을 바로잡으려고 하면서 아차 싶었다./나 때문이다. 
narration	나레이션	커브길에서 차는 제때 방향을 돌리지 못하고/그대로 산비탈에 박았다.
narration	나레이션	내가 자초한 일이었다.
endScene
end
